,date,logRet,sentiment_score,RV
3,2023-02-25 21:30:00,-0.0012885157433277,0.1332065868263473,0.002345467611561743
4,2023-02-25 21:45:00,0.0014786199480383,0.1459236363636363,0.002361636889195434
5,2023-02-25 22:00:00,0.0017850411535711,0.0816723756906077,0.0028542603891154915
6,2023-02-25 22:15:00,0.0033588825408799,0.125491447368421,0.004279609049307001
7,2023-02-25 22:30:00,0.0006365284267886,0.1348024242424242,0.004130369139945849
8,2023-02-25 22:45:00,0.0022194741693972,0.130891875,0.004449685142805232
9,2023-02-25 23:00:00,-0.0002106513915425,0.1121321839080459,0.004081384563958408
10,2023-02-25 23:15:00,0.0031227781539708,0.1721865853658536,0.00388938959663434
11,2023-02-25 23:30:00,-0.0013528703948875,0.1622686746987951,0.004068469159482535
12,2023-02-25 23:45:00,0.0001049290984678,0.1904975155279503,0.0034113612867511405
13,2023-02-26 00:00:00,-0.0024282784975415,0.1251645,0.004182050726809517
14,2023-02-26 00:15:00,0.0004513440978133,0.149411875,0.002818069618962887
15,2023-02-26 00:30:00,-0.0001285019764889,0.1515522222222222,0.0024754334630363475
16,2023-02-26 00:45:00,-0.0004319222641715,0.2119513157894736,0.0025106408656958277
17,2023-02-26 01:00:00,0.0009899423024855,0.1086883838383838,0.001177610656002137
18,2023-02-26 01:15:00,-0.0004161063492897,0.1355186567164179,0.0011645599411013946
19,2023-02-26 01:30:00,-0.000719727599252,0.1603313432835821,0.0013629728227597122
20,2023-02-26 01:45:00,0.0007534724028808,0.2102150793650793,0.001496281636323025
21,2023-02-26 02:00:00,-0.0019842247271633,0.1895052023121387,0.0022794781729232436
22,2023-02-26 02:15:00,0.001289198120693,0.120351282051282,0.002585518911420423
23,2023-02-26 02:30:00,0.0029744886554095,0.165659375,0.003874852640468721
24,2023-02-26 02:45:00,0.0031743677925444,0.1473495934959349,0.004952107955788894
25,2023-02-26 03:00:00,-0.0007127734375309,0.1239674418604651,0.004592850031423953
26,2023-02-26 03:15:00,-0.0001412376467833,0.1848276315789473,0.004410463432522882
27,2023-02-26 03:30:00,0.0011435377704369,0.1591088235294117,0.003451417616122034
28,2023-02-26 03:45:00,-0.0013571545487813,0.1702499999999999,0.0019176916195812273
29,2023-02-26 04:00:00,-0.000578631038909,0.1958482352941176,0.0018719799821983575
30,2023-02-26 04:15:00,0.0004054645996838,0.1930918518518518,0.0019101734273304148
31,2023-02-26 04:30:00,-0.0017337472050691,0.168625,0.0023123501597181045
32,2023-02-26 04:45:00,0.0008786753575389,0.2522396907216495,0.0020681308410776824
33,2023-02-26 05:00:00,-0.0006486871860307,0.2242724,0.0020888145829508664
34,2023-02-26 05:15:00,-0.0005006048360254,0.2740654867256637,0.002109348245834119
35,2023-02-26 05:30:00,0.0003072974979012,0.2121608510638298,0.001240121930833778
36,2023-02-26 05:45:00,-0.0018694137395929,0.2174190751445086,0.00206410749457665
37,2023-02-26 06:00:00,-0.0013848748893128,0.1601933333333333,0.0023995047703424567
38,2023-02-26 06:15:00,0.0017553205889981,0.281209604519774,0.0029305576792147984
39,2023-02-26 06:30:00,0.000931343309638,0.2257397849462365,0.0030595975093786355
40,2023-02-26 06:45:00,0.0005167027401569,0.259634193548387,0.0024765724118835874
41,2023-02-26 07:00:00,-0.0006566080538501,0.2089309417040358,0.00215561281046355
42,2023-02-26 07:15:00,0.000163220963115,0.0970301204819277,0.0012618071569277598
43,2023-02-26 07:30:00,0.0014807249627537,0.1950732620320855,0.001708011521093637
44,2023-02-26 07:45:00,-0.001615013283434,0.2334709359605911,0.0022931614727644497
45,2023-02-26 08:00:00,-0.0004738234247678,0.1932944206008583,0.002247657456475317
46,2023-02-26 08:15:00,-0.0003901982087857,0.1499814814814815,0.002275429102606467
47,2023-02-26 08:30:00,0.0011589141024845,0.1492602739726027,0.0020804117579469646
48,2023-02-26 08:45:00,-0.0003700327091546,0.1996879069767442,0.0013626332532196631
49,2023-02-26 09:00:00,0.0014762914673163,0.2015449799196787,0.0019523568427396232
50,2023-02-26 09:15:00,0.0021950841705091,0.22745625,0.002911672563127984
51,2023-02-26 09:30:00,5.3782814251945865e-05,0.1948717842323651,0.0026716376642508407
52,2023-02-26 09:45:00,0.0021382108427463,0.2056149425287356,0.003401862609106552
53,2023-02-26 10:00:00,-0.0020530247842973,0.1524511210762331,0.003688921723174036
54,2023-02-26 10:15:00,0.0003342206485275,0.1973808510638297,0.0029835301919015032
55,2023-02-26 10:30:00,-0.00079809923254,0.1986576086956521,0.003087964086556043
56,2023-02-26 10:45:00,0.0002758572626166,0.1782263803680981,0.0022449217850874846
57,2023-02-26 11:00:00,-0.0009117807605374,0.1465530909090909,0.0012868982910500593
58,2023-02-26 11:15:00,0.0007887087628333,0.19896,0.001471891735888022
59,2023-02-26 11:30:00,-0.000748655608417,0.2141483091787439,0.001445679119724964
60,2023-02-26 11:45:00,0.0015814627498649,0.2053004545454545,0.0021248330092222953
61,2023-02-26 12:00:00,-0.0023039580395138,0.1126374485596707,0.0029986319896970993
62,2023-02-26 12:15:00,0.0016536018691759,0.1811890410958904,0.003332286218020112
63,2023-02-26 12:30:00,-0.0023033023378733,0.2283609195402299,0.003981061149799782
64,2023-02-26 12:45:00,-0.0009280747129825,0.2319576470588235,0.003769502105333337
65,2023-02-26 13:00:00,-0.0002611897705318,0.1715075268817204,0.0029948528462184322
66,2023-02-26 13:15:00,0.001205221043719,0.1867115555555555,0.002772598455056868
67,2023-02-26 13:30:00,-0.0001802808158917,0.219219921875,0.0015538988724848528
