date,logRet,sentiment_score
2023-02-25 20:45:00,0.0014526549732174487,0.17249068322981367
2023-02-25 21:00:00,-0.0007854287666475557,0.14063958333333335
2023-02-25 21:15:00,0.001055386506163103,0.09390571428571427
2023-02-25 21:30:00,-0.0012885157433277783,0.1332065868263473
2023-02-25 21:45:00,0.0014786199480383289,0.14592363636363637
2023-02-25 22:00:00,0.001785041153571143,0.08167237569060773
2023-02-25 22:15:00,0.003358882540879904,0.12549144736842105
2023-02-25 22:30:00,0.0006365284267886295,0.13480242424242425
2023-02-25 22:45:00,0.002219474169397273,0.13089187500000002
2023-02-25 23:00:00,-0.00021065139154252677,0.11213218390804597
2023-02-25 23:15:00,0.0031227781539708843,0.17218658536585366
2023-02-25 23:30:00,-0.0013528703948875176,0.16226867469879516
2023-02-25 23:45:00,0.00010492909846782084,0.19049751552795033
2023-02-26 00:00:00,-0.0024282784975415694,0.1251645
2023-02-26 00:15:00,0.0004513440978133332,0.149411875
2023-02-26 00:30:00,-0.00012850197648894834,0.15155222222222223
2023-02-26 00:45:00,-0.000431922264171547,0.21195131578947368
2023-02-26 01:00:00,0.0009899423024855025,0.10868838383838383
2023-02-26 01:15:00,-0.00041610634928979096,0.1355186567164179
2023-02-26 01:30:00,-0.0007197275992520957,0.1603313432835821
2023-02-26 01:45:00,0.0007534724028808171,0.21021507936507938
2023-02-26 02:00:00,-0.0019842247271633084,0.18950520231213872
2023-02-26 02:15:00,0.001289198120693058,0.12035128205128205
2023-02-26 02:30:00,0.002974488655409502,0.165659375
2023-02-26 02:45:00,0.0031743677925444302,0.14734959349593496
2023-02-26 03:00:00,-0.0007127734375309558,0.12396744186046513
2023-02-26 03:15:00,-0.00014123764678330986,0.18482763157894738
2023-02-26 03:30:00,0.0011435377704369643,0.15910882352941177
2023-02-26 03:45:00,-0.0013571545487813808,0.17024999999999998
2023-02-26 04:00:00,-0.0005786310389090943,0.19584823529411763
2023-02-26 04:15:00,0.00040546459968382464,0.19309185185185185
2023-02-26 04:30:00,-0.001733747205069136,0.168625
2023-02-26 04:45:00,0.0008786753575389383,0.2522396907216495
2023-02-26 05:00:00,-0.0006486871860307275,0.2242724
2023-02-26 05:15:00,-0.0005006048360254312,0.2740654867256637
2023-02-26 05:30:00,0.00030729749790125993,0.2121608510638298
2023-02-26 05:45:00,-0.0018694137395929289,0.21741907514450867
2023-02-26 06:00:00,-0.001384874889312826,0.16019333333333333
2023-02-26 06:15:00,0.0017553205889981882,0.28120960451977406
2023-02-26 06:30:00,0.0009313433096380663,0.22573978494623656
2023-02-26 06:45:00,0.0005167027401569158,0.25963419354838707
2023-02-26 07:00:00,-0.0006566080538501495,0.20893094170403587
2023-02-26 07:15:00,0.00016322096311505163,0.0970301204819277
2023-02-26 07:30:00,0.0014807249627537544,0.19507326203208558
2023-02-26 07:45:00,-0.0016150132834340525,0.23347093596059112
2023-02-26 08:00:00,-0.00047382342476787187,0.19329442060085836
2023-02-26 08:15:00,-0.0003901982087857192,0.1499814814814815
2023-02-26 08:30:00,0.0011589141024845873,0.14926027397260275
2023-02-26 08:45:00,-0.00037003270915469955,0.1996879069767442
2023-02-26 09:00:00,0.0014762914673163152,0.2015449799196787
2023-02-26 09:15:00,0.002195084170509176,0.22745625000000003
2023-02-26 09:30:00,5.3782814251945865e-05,0.19487178423236515
2023-02-26 09:45:00,0.0021382108427463464,0.20561494252873563
2023-02-26 10:00:00,-0.0020530247842973637,0.15245112107623318
2023-02-26 10:15:00,0.00033422064852750566,0.19738085106382977
2023-02-26 10:30:00,-0.0007980992325400393,0.19865760869565216
2023-02-26 10:45:00,0.00027585726261669663,0.17822638036809815
2023-02-26 11:00:00,-0.0009117807605374395,0.1465530909090909
2023-02-26 11:15:00,0.0007887087628333234,0.19896
2023-02-26 11:30:00,-0.0007486556084170815,0.21414830917874395
2023-02-26 11:45:00,0.0015814627498649259,0.20530045454545454
2023-02-26 12:00:00,-0.002303958039513887,0.11263744855967078
2023-02-26 12:15:00,0.001653601869175958,0.1811890410958904
2023-02-26 12:30:00,-0.0023033023378733475,0.2283609195402299
2023-02-26 12:45:00,-0.0009280747129825073,0.23195764705882352
2023-02-26 13:00:00,-0.00026118977053180004,0.17150752688172044
2023-02-26 13:15:00,0.001205221043719007,0.18671155555555558
2023-02-26 13:30:00,-0.00018028081589172018,0.219219921875
2023-02-26 13:45:00,0.0013521760690604623,0.18936814159292034
2023-02-26 14:00:00,0.0027126260780185874,0.1929851485148515
2023-02-26 14:15:00,-0.002114062956094287,0.191537890625
2023-02-26 14:30:00,-0.00012355886573267583,0.16533875
2023-02-26 14:45:00,-0.0012666049705405413,0.2508088669950739
2023-02-26 15:00:00,0.0009152182813814136,0.1519691304347826
2023-02-26 15:15:00,-0.0006626308755297572,0.1595261224489796
2023-02-26 15:30:00,0.0007702992312577095,0.1992560260586319
2023-02-26 15:45:00,0.0012158474823937837,0.1979851145038168
2023-02-26 16:00:00,0.000421005650661499,0.15964895833333334
2023-02-26 16:15:00,-0.002364917010815759,0.17533860294117648
2023-02-26 16:30:00,-0.0006815861432407644,0.21682235772357725
2023-02-26 16:45:00,-3.4932486503436166e-05,0.22695384615384614
2023-02-26 17:00:00,-0.0002829549835787759,0.18093484419263456
2023-02-26 17:15:00,-0.0005514746476524834,0.20018635014836797
2023-02-26 17:30:00,0.0006985694712380308,0.16888063241106718
2023-02-26 17:45:00,0.002481817906788919,0.18553211267605635
2023-02-26 18:00:00,0.000677863482922092,0.14997861271676302
2023-02-26 18:15:00,-0.001364367339563799,0.2006029520295203
